ma_service,title,layout,meta_title,bigimg,image,tags,categories,transport,location,duration,discount,price
SV_PKG02,"Tour trọn gói quốc tế",post,"Tour trọn gói quốc tế","/img/service/tour-tron-goi-quoc-te.png","/img/service/tour-tron-goi-quoc-te.png","tour trọn gói, tour quốc tế, du lịch nước ngoài","[service#packageTour]","","Toàn thế giới","","",""
SV_PKG03,"Tour gia đình & nhóm riêng",post,"Tour gia đình & nhóm riêng","/img/service/tour-gia-dinh-nhom-rieng.jpg","/img/service/tour-gia-dinh-nhom-rieng.jpg","tour gia đình, tour nhóm, tour riêng tư","[service#packageTour]","","Toàn thế giới","","",""
SV_EVENT01,"Tổ chức hội nghị, hội thảo",post,"Tổ chức hội nghị, hội thảo","/img/service/to-chuc-hoi-nghi-hoi-thao.jpg","/img/service/to-chuc-hoi-nghi-hoi-thao.jpg","tổ chức hội nghị, hội thảo, sự kiện doanh nghiệp","[service#event]","","Toàn thế giới","","",""
SV_EVENT02,"Tổ chức team building",post,"Tổ chức team building","/img/service/to-chuc-team-building.webp","/img/service/to-chuc-team-building.webp","team building, sự kiện tập thể, hoạt động nhóm","[service#event]","","Toàn thế giới","","",""
SV_EVENT03,"Tổ chức gala dinner",post,"Tổ chức gala dinner","/img/service/to-chuc-gala-dinner.jpg","/img/service/to-chuc-gala-dinner.jpg","gala dinner, sự kiện, tiệc doanh nghiệp","[service#event]","","Toàn thế giới","","",""
SV_PARTNER01,"Hợp tác đại lý du lịch",post,"Hợp tác đại lý du lịch","/img/service/hop-tac-dai-ly-du-lich.webp","/img/service/hop-tac-dai-ly-du-lich.webp","hợp tác đại lý, đối tác du lịch, mở rộng kinh doanh","[service#partner]","","Toàn thế giới","","",""
SV_PARTNER02,"Hợp tác khách sạn & nhà hàng",post,"Hợp tác khách sạn & nhà hàng","/img/service/hop-tac-khach-san-nha-hang.jpg","/img/service/hop-tac-khach-san-nha-hang.jpg","hợp tác khách sạn, nhà hàng, đối tác dịch vụ","[service#partner]","","Toàn thế giới","","",""
SV_PARTNER03,"Hợp tác vận chuyển",post,"Hợp tác vận chuyển","/img/service/hop-tac-van-chuyen.jpg","/img/service/hop-tac-van-chuyen.jpg","hợp tác vận chuyển, đối tác xe, logistics","[service#partner]","","Toàn thế giới","","",""
SV_OTHER01,"Dịch vụ bảo hiểm du lịch",post,"Dịch vụ bảo hiểm du lịch","/img/service/dich-vu-bao-hiem-du-lich.jpg","/img/service/dich-vu-bao-hiem-du-lich.jpg","bảo hiểm du lịch, an toàn chuyến đi, dịch vụ khác","[service#other]","","Toàn thế giới","","",""
SV_OTHER02,"Dịch vụ đổi ngoại tệ",post,"Dịch vụ đổi ngoại tệ","/img/service/dich-vu-doi-ngoai-te.png","/img/service/dich-vu-doi-ngoai-te.png","đổi ngoại tệ, hỗ trợ tài chính, dịch vụ khác","[service#other]","","Toàn thế giới","","",""
SV_OTHER03,"Dịch vụ làm hộ chiếu",post,"Dịch vụ làm hộ chiếu","/img/service/dich-vu-lam-ho-chieu.jpg","/img/service/dich-vu-lam-ho-chieu.jpg","làm hộ chiếu, hỗ trợ giấy tờ, dịch vụ khác","[service#other]","","Toàn thế giới","","",""
